Imagen,Descripcion
00000014-PHOTO-2019-08-13-10-55-07.jpg,Información en la imagen 🖼️
00000015-PHOTO-2019-08-13-10-55-08.jpg,Información en la imagen 🖼️
00000016-PHOTO-2019-08-13-10-55-08.jpg,Esto es el barbillon de ave con los comulos inflamatorios
00000017-PHOTO-2019-08-13-10-55-08.jpg,Cuerpos de inclusión en el barbillon del ave
00000018-PHOTO-2019-08-13-10-55-08.jpg,El conductillo biliar de hígado
00000019-PHOTO-2019-08-13-10-55-08.jpg,Los coccidios del hígado.
00000020-PHOTO-2019-08-13-10-55-08.jpg,Información en la imagen 🖼️
00000021-PHOTO-2019-08-13-10-55-08.jpg,Información en la imagen 🖼️
00000061-PHOTO-2019-08-14-19-07-51.jpg,Información en la imagen 🖼️
00000062-PHOTO-2019-08-14-19-10-21.jpg,Neumonía granulomatosa
00000063-PHOTO-2019-08-14-19-53-08.jpg,Nefritis embolia purulenta
00000064-PHOTO-2019-08-14-20-04-55.jpg,Información en la imagen 🖼️
00000067-PHOTO-2019-08-14-20-32-33.jpg,Información en la imagen 🖼️
00000069-PHOTO-2019-08-14-20-34-05.jpg,Información en la imagen 🖼️
00000070-PHOTO-2019-08-14-20-39-19.jpg,Información en la imagen 🖼️
00000071-PHOTO-2019-08-14-20-49-25.jpg,Información en la imagen 🖼️
00000072-PHOTO-2019-08-14-20-50-05.jpg,Información en la imagen 🖼️
00000086-PHOTO-2019-08-21-20-03-05.jpg,Información en la imagen 🖼️
00000087-PHOTO-2019-08-21-20-03-06.jpg,Información en la imagen 🖼️
00000088-PHOTO-2019-08-21-20-03-06.jpg,Información en la imagen 🖼️
00000089-PHOTO-2019-08-21-20-28-48.jpg,[Revisar] Muchos exitoa mañana!!! Ustedes pueden
00000111-PHOTO-2019-08-26-20-37-55.jpg,Información en la imagen 🖼️
00000222-PHOTO-2019-08-28-18-12-51.jpg,Información en la imagen 🖼️
00000223-PHOTO-2019-08-28-18-13-05.jpg,Información en la imagen 🖼️
00000224-PHOTO-2019-08-28-18-22-53.jpg,Equino || [Revisar] Peritonitis fibrinopurulenta difuso
00000226-PHOTO-2019-08-28-18-28-28.jpg,Información en la imagen 🖼️
00000227-PHOTO-2019-08-28-18-28-56.jpg,Información en la imagen 🖼️
00000228-PHOTO-2019-08-28-18-31-18.jpg,[Revisar] Colitis fibrinonecrotica difusa
00000230-PHOTO-2019-08-28-18-35-08.jpg,Colitis fibrinonecrotica
00000231-PHOTO-2019-08-28-18-37-33.jpg,Información en la imagen 🖼️
00000232-PHOTO-2019-08-28-18-38-20.jpg,Información en la imagen 🖼️
00000233-PHOTO-2019-08-28-18-38-41.jpg,Información en la imagen 🖼️
00000234-PHOTO-2019-08-28-18-55-48.jpg,Información en la imagen 🖼️
00000235-PHOTO-2019-08-28-18-57-42.jpg,Bacteriad rhodococcus fagocitada
00000236-PHOTO-2019-08-28-19-01-20.jpg,[Revisar] Edema generado por inflamación. No hay células porque no hay quimiotaxis
00000239-PHOTO-2019-08-28-19-08-48.jpg,[Revisar] Roncha x ej
00000241-PHOTO-2019-08-28-19-12-19.jpg,[Revisar] Bronquiolitis catarral
